"bot","question","score","score_type"
"Bot1","q1",4.08333333333333,"engagement"
"Bot1","q2",4.45833333333333,"engagement"
"Bot1","q3",4.45833333333333,"engagement"
"Bot1","q4",3.875,"engagement"
"Bot1","q5",4.08333333333333,"engagement"
"Bot1","q6",3.5,"engagement"
"Bot1","q7",3.77083333333333,"emotional"
"Bot1","q8",3.39583333333333,"emotional"
"Bot1","q9",3.89583333333333,"emotional"
"Bot1","q10",3.39583333333333,"emotional"
"Bot1","q11",3.89583333333333,"emotional"
"Bot1","q12",4,"emotional"
"Bot2","q1",3.62222222222222,"engagement"
"Bot2","q2",3.57777777777778,"engagement"
"Bot2","q3",3.46666666666667,"engagement"
"Bot2","q4",3.06666666666667,"engagement"
"Bot2","q5",3.35555555555556,"engagement"
"Bot2","q6",3.15555555555556,"engagement"
"Bot2","q7",3.06666666666667,"emotional"
"Bot2","q8",2.8,"emotional"
"Bot2","q9",3.17777777777778,"emotional"
"Bot2","q10",2.84444444444444,"emotional"
"Bot2","q11",3.13333333333333,"emotional"
"Bot2","q12",3.22222222222222,"emotional"
"Bot3","q1",3.82222222222222,"engagement"
"Bot3","q2",3.73333333333333,"engagement"
"Bot3","q3",3.97777777777778,"engagement"
"Bot3","q4",3.2,"engagement"
"Bot3","q5",3.6,"engagement"
"Bot3","q6",3.04444444444444,"engagement"
"Bot3","q7",3.42222222222222,"emotional"
"Bot3","q8",3.2,"emotional"
"Bot3","q9",3.51111111111111,"emotional"
"Bot3","q10",3.08888888888889,"emotional"
"Bot3","q11",3.46666666666667,"emotional"
"Bot3","q12",3.35555555555556,"emotional"
